"Course Career","Term","Course Type","Code","Description","Sect","Status","Meeting Type","Start Date","End Date","Day(s)","Start Time","End Time","Venue","Instructor(s)"
"Undergraduate","2020-21 Term 2","COURSE","ACCT102","Management Accounting","G1","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Wed","12:00","15:15","SOA Seminar Rm 2-4","KATHERINE YUEN"
"Undergraduate","2020-21 Term 2","COURSE","ACCT102","Management Accounting","G1","Enrolled","EXAM","20-Apr-2021","20-Apr-2021","Tue","13:00","16:00","",""
"Undergraduate","2020-21 Term 2","COURSE","COR-SOCG2607","Contemporary S.Asian Societies","G1","Not Biddable Yet","CLASS","11-Jan-2021","18-Apr-2021","Tue","08:15","09:45","SOL-3.11-SR","IJLAL NAQVI"
"Undergraduate","2020-21 Term 2","COURSE","COR-SOCG2607","Contemporary S.Asian Societies","G1","Not Biddable Yet","CLASS","11-Jan-2021","18-Apr-2021","Thu","08:15","09:45","SOL-3.11-SR","IJLAL NAQVI"
"Undergraduate","2020-21 Term 2","COURSE","COR-SOCG2607","Contemporary S.Asian Societies","G1","Not Biddable Yet","EXAM","21-Apr-2021","21-Apr-2021","Wed","08:30","10:30","",""
"Undergraduate","2020-21 Term 2","COURSE","COR1301","Leadership and Team Building (SMU-X)","G10","Not Biddable Yet","CLASS","11-Jan-2021","18-Apr-2021","Thu","15:30","18:45","LKCSB Seminar Rm 3.1","ROGER LOW"
"Undergraduate","2020-21 Term 2","COURSE","COR-SOCG2607","Contemporary S.Asian Societies","G2","Not Biddable Yet","CLASS","11-Jan-2021","18-Apr-2021","Tue","10:00","11:30","SOL-3.11-SR","IJLAL NAQVI"
"Undergraduate","2020-21 Term 2","COURSE","COR-SOCG2607","Contemporary S.Asian Societies","G2","Not Biddable Yet","CLASS","11-Jan-2021","18-Apr-2021","Thu","10:00","11:30","SOL-3.11-SR","IJLAL NAQVI"
"Undergraduate","2020-21 Term 2","COURSE","COR-SOCG2607","Contemporary S.Asian Societies","G2","Not Biddable Yet","EXAM","21-Apr-2021","21-Apr-2021","Wed","08:30","10:30","",""
"Undergraduate","2020-21 Term 2","COURSE","MKTG101","Marketing","G4","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Thu","15:30","18:45","LKCSB Seminar Rm 2.4","LI LINYI"
"Undergraduate","2020-21 Term 2","COURSE","MKTG101","Marketing","G4","Enrolled","EXAM","20-Apr-2021","20-Apr-2021","Tue","08:30","10:30","",""
"Undergraduate","2020-21 Term 2","COURSE","OPIM201","Operations Management","G5","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Wed","15:30","18:45","LKCSB Seminar Rm 2.6","HELEN ZHOU YANGFANG"
"Undergraduate","2020-21 Term 2","COURSE","OPIM201","Operations Management","G5","Enrolled","EXAM","26-Apr-2021","26-Apr-2021","Mon","08:30","11:30","",""
"Undergraduate","2020-21 Term 2","COURSE","COR1301","Leadership and Team Building (SMU-X)","G9","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Tue","08:15","11:30","LKCSB Seminar Rm 3.4","HANOI LOK"
